"統計名：","出入国管理統計 入国審査・在留資格審査・退去強制手続等"
"表番号："
"表題：","地方出入国在留管理局管内別　在留資格の取得等の受理及び処理人員"
"実施年月：","2024年","-"
"市区町村時点（年月日）：","-"

"***","集計に必要なデータがないもの"
"0","集計した結果がゼロのもの"

"","","","","","","","","","/在留資格審査 コード","100","100","100","100","100","100","100","100","110","110","110","110","110","110","110","110","120","120","120","120","120","120","120","120","130","130","130","130","130","130","130","130","140","140","140","140","140","140","140","140","150","150","150","150","150","150","150","150"
"","","","","","","","","","/在留資格審査 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"","","","","","","","","","/在留資格審査","資格取得","資格取得","資格取得","資格取得","資格取得","資格取得","資格取得","資格取得","期間更新","期間更新","期間更新","期間更新","期間更新","期間更新","期間更新","期間更新","資格変更","資格変更","資格変更","資格変更","資格変更","資格変更","資格変更","資格変更","資格外活動","資格外活動","資格外活動","資格外活動","資格外活動","資格外活動","資格外活動","資格外活動","再入国","再入国","再入国","再入国","再入国","再入国","再入国","再入国","永住","永住","永住","永住","永住","永住","永住","永住"
"","","","","","","","","","/在留資格審査の受理・処理 コード","100","120","130","220","230","240","270","380","100","120","130","220","230","240","270","380","100","120","130","220","230","240","270","380","100","120","130","220","230","240","270","380","100","120","130","220","230","240","270","380","100","120","130","220","230","240","270","380"
"","","","","","","","","","/在留資格審査の受理・処理 補助コード","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-","-"
"表章項目 コード","表章項目 補助コード","表章項目","時間軸(年次) コード","時間軸(年次) 補助コード","時間軸(年次)","地方入国管理局・支局・出張所 コード","地方入国管理局・支局・出張所 補助コード","地方入国管理局・支局・出張所","/在留資格審査の受理・処理","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済","受理_総数","受理_旧受","受理_新受","既済_総数","既済_許可","既済_不許可","既済_その他","未済"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50000","","総数","","21,425","353","21,072","21,024","19,652","0","1,372","***","1,244,308","71,923","1,172,385","1,146,867","1,131,093","1,476","14,298","***","497,029","58,466","438,563","442,697","423,505","2,700","16,492","***","415,464","2,224","413,240","412,363","411,315","157","891","***","42,313","5","42,308","42,295","42,287","5","3","***","116,919","48,362","68,557","55,906","36,766","17,282","1,858","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50010","","札幌出入国在留管理局管内","","204","2","202","200","186","0","14","***","24,315","1,588","22,727","21,931","21,573","21","337","***","14,819","1,984","12,835","12,989","12,452","72","465","***","4,828","18","4,810","4,788","4,777","1","10","***","270","1","269","270","270","0","0","***","677","137","540","384","260","106","18","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50020","","札幌出入国在留管理局","","144","2","142","140","129","0","11","***","19,443","1,385","18,058","17,429","17,136","18","275","***","12,702","1,712","10,990","11,088","10,649","42","397","***","2,340","14","2,326","2,301","2,292","1","8","***","197","0","197","197","197","0","0","***","527","102","425","286","184","88","14","***"
"160","","在留資格取得等処理人員【人】","2024000000","","2024年","50030","","函館港出張所","","4","0","4","4","4","0","0","***","640","22","618","613","611","0","2","***","262","25","237","226","218","1","7","***","239","0","239","239","239","0","0","***","12","1","11","12","12","0","0","***","24","4","20","15","13","2","0","***"
